,Unnamed: 0,movieId,title,genres,tags,coviews
0,0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,pixar_adventure_animation_children_comedy_fantasy,"[19, 13, 27, 93, 54, 39, 7, 74, 53, 60]"
1,1,2,Jumanji (1995),Adventure|Children|Fantasy,adventure_children_fantasy,"[60, 1, 44, 80, 95, 34, 48, 92, 73, 49]"
2,2,3,Grumpier Old Men (1995),Comedy|Romance,comedy_romance,"[70, 74, 63, 46, 28, 17, 88, 53, 92, 18]"
3,3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,comedy_drama_romance,"[21, 68, 29, 104, 1, 70, 41, 18, 6, 46]"
4,4,5,Father of the Bride Part II (1995),Comedy,steve martin_comedy,"[72, 63, 84, 54, 88, 7, 94, 95, 53, 62]"
5,5,6,Heat (1995),Action|Crime|Thriller,action_crime_thriller,"[36, 44, 95, 45, 98, 16, 30, 73, 1, 35]"
6,6,7,Sabrina (1995),Comedy|Romance,comedy_romance,"[70, 45, 52, 38, 85, 74, 68, 71, 21, 36]"
7,7,8,Tom and Huck (1995),Adventure|Children,adventure_children,"[101, 60, 107, 13, 53, 95, 15, 96, 52, 14]"
8,8,9,Sudden Death (1995),Action,action,"[20, 89, 44, 10, 23, 15, 66, 85, 41, 83]"
9,9,10,GoldenEye (1995),Action|Adventure|Thriller,action_adventure_thriller,"[71, 61, 53, 89, 92, 20, 9, 30, 28, 85]"
10,10,11,"American President, The (1995)",Comedy|Drama|Romance,comedy_drama_romance,"[29, 25, 22, 20, 69, 107, 3, 26, 61, 73]"
11,11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,comedy_horror,"[5, 38, 104, 54, 101, 20, 63, 63, 104, 99]"
12,12,13,Balto (1995),Adventure|Animation|Children,adventure_animation_children,"[34, 8, 29, 38, 2, 54, 80, 96, 41, 57]"
13,13,14,Nixon (1995),Drama,drama,"[73, 46, 85, 27, 86, 4, 61, 42, 49, 1]"
14,14,15,Cutthroat Island (1995),Action|Adventure|Romance,action_adventure_romance,"[66, 76, 13, 71, 1, 8, 94, 60, 83, 54]"
15,15,16,Casino (1995),Crime|Drama,crime_drama,"[43, 105, 97, 49, 86, 78, 73, 4, 104, 41]"
16,16,17,Sense and Sensibility (1995),Drama|Romance,drama_romance,"[105, 57, 73, 27, 4, 92, 68, 34, 100, 1]"
17,17,18,Four Rooms (1995),Comedy,comedy,"[20, 88, 102, 1, 4, 96, 72, 9, 49, 107]"
