ap@5,Ps = 10,,,Ps=30,,,Ps = 50,,,Ps = 10,,,,,Ps = 30,,,,,Ps = 50,,,,,Ps = 10,,,,,Ps = 30,,,,,Ps = 50,,,
num_q=2,num_q=4,num_q=6,num_q=2,num_q=4,num_q=6,num_q=2,num_q=4,num_q=6,pop=5,pop=10,pop=15,pop=20,pop=25,pop=5,pop=10,pop=15,pop=20,pop=25,pop=5,pop=10,pop=15,pop=20,pop=25,iter=10,iter=20,iter=30,iter=40,iter=50,iter=10,iter=20,iter=30,iter=40,iter=50,iter=10,iter=20,iter=30,iter=40,iter=50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,4,3,3,4,4,3,4,3,3,5,2,3,4,3,3,3,3,3,3,4,3,4,5,3,5,4,3,3,3,3,3,5,3,5,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,4,4,4,2,2,3,3,4,2,3,4,4,4,3,3,2,3,0,3,0,3,4,3,0,3,4,4,4,4,2,4,3,3,2,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,3,4,4,2,4,4,3,4,4,4,1,3,4,1,4,2,4,4,4,2,3,4,4,4,4,1,3,4,4,4,4,2,3,4,3,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
